requests_per_second;response_time_ms
27;60019
55;60007
56;60018
56;60018
57;60016
57;60016
57;60016
58;60016
58;60013
59;60020
59;60018
59;60016
60;60013
60;60016
60;60016
61;60014
61;60017
61;60015
62;60016
62;60016
62;60016
62;60017
62;60015
63;60020
63;60021
63;60016
63;60019
63;60017
63;60016
64;60017
64;60019
64;60015
65;60012
65;60016
65;60017
66;60015
66;60020
66;60014
66;60018
67;60019
68;60021
69;60016
69;60016
70;60018
71;60016
71;60019
71;60015
