requests_per_second;response_time_ms
51;31587
52;22854
55;28388
56;35178
56;44036
56;47037
56;53281
58;40146
59;55075
59;58476
59;59593
60;36555
62;50179
63;58829
63;59493
64;59446
66;59109
66;59526
79;20646
96;21990
