requests_per_second;response_time_ms
52;36686
52;46903
53;30825
54;24985
54;33875
54;58694
56;40075
57;48963
58;55777
59;59308
59;59275
60;42163
60;58624
62;50178
63;59428
65;59624
67;59967
79;22320
97;22671
