requests_per_second;response_time_ms
51;14382
51;16369
52;18014
60;19552
60;21272
64;21657
65;42636
66;20977
67;23198
69;24083
69;28125
70;53240
72;55891
73;30379
73;59853
74;32791
75;59814
76;37724
76;38821
76;58058
77;15985
77;48593
78;44698
78;59387
79;26367
79;26718
79;42125
79;59566
79;59833
79;58720
80;34801
80;46505
80;58822
81;54597
82;45275
82;52562
83;40018
83;52104
84;37722
84;59729
84;59791
85;49056
86;32387
89;58476
94;15532
