requests_per_second;response_time_ms
38;60018
73;60018
74;60018
74;60019
74;60019
75;60019
76;60021
78;60019
79;60011
79;60017
79;60020
79;60020
80;60007
80;60018
80;60020
81;60019
82;60020
82;60019
82;60020
84;60014
84;60019
85;60020
85;60019
86;60018
89;60016
89;60021
